title,price,link,sold,location,category
Bubuk / Powder Matcha - 200g,Rp85.990,https://www.tokopedia.com/homelabid/bubuk-powder-matcha-200g?extParam=ivf%3Dtrue,,Jakarta Barat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Sodium Bicarbonate / Soda Kue / Baking Soda 1Kg,Rp12.000,https://www.tokopedia.com/multijayakimia/sodium-bicarbonate-soda-kue-baking-soda-1kg?extParam=ivf%3Dfalse,,Tangerang Selatan,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Colatta Choco Chips 150g,Rp13.708,https://www.tokopedia.com/colatta/colatta-choco-chips-150g?extParam=ivf%3Dfalse,,Depok,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
MEC3 Pistachio Paste 100% California Gelato 200gr Pasta Pistachio Pure,Rp385.000,https://www.tokopedia.com/trinitykitchen/mec3-pistachio-paste-100-california-gelato-200gr-pasta-pistachio-pure?extParam=ivf%3Dfalse,,Jakarta Barat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
TERMURAH!! 500 GRAM KULIT DIMSUM WARNA KULIT PANGSIT PUTIH KULIT GYOZA,Rp15.900,https://www.tokopedia.com/macaumee/termurah-500-gram-kulit-dimsum-warna-kulit-pangsit-putih-kulit-gyoza-rainbow-9cm?extParam=ivf%3Dtrue,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Raw Cacao Powder,Rp114.950,https://www.tokopedia.com/timurasaindonesi/raw-cacao-powder?extParam=ivf%3Dfalse,,Jakarta Selatan,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Vanilla Extract 75ml,Rp54.900,https://www.tokopedia.com/houseoforganix/vanilla-extract-75ml?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Kulit Lumpia Premium Jamin Kriuk Anti Sobek Tipis Lembut Halal MUI,Rp12.350,https://www.tokopedia.com/macaumee/kulit-lumpia-premium-jamin-kriuk-anti-sobek-tipis-lembut-halal-mui?extParam=ivf%3Dtrue,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Nutrijell Pudding,Rp8.900,https://www.tokopedia.com/tobakingmurahonline/nutrijell-pudding-red-velvet-31a0d?extParam=ivf%3Dfalse,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
TOFFIECO PERISA PERASA MAKANAN PASTA 100 GR VANILLA COKLAT PANDAN DLL,Rp28.500,https://www.tokopedia.com/ledolciid/toffieco-perisa-perasa-makanan-pasta-100-gr-vanilla-coklat-pandan-dll-pandan?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
SODIUM BICARBONATE PURE 1 KG / SODA KUE / BAKING SODA ( FOOD GRADE ),Rp9.000,https://www.tokopedia.com/cliger/sodium-bicarbonate-pure-1-kg-soda-kue-baking-soda-food-grade-packing-biasa-682d2?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Kelapa Parut Kering / Dried Coconut Flakes - HAYS,Rp11.900,https://www.tokopedia.com/haysfoodofficial/kelapa-parut-kering-dried-coconut-flakes-hays?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
JennToys - Snack Anak Agar Pudding Powder Mom's Recipe SILKY PUDDING,Rp12.500,https://www.tokopedia.com/jenntoys/jenntoys-snack-anak-agar-pudding-powder-mom-s-recipe-silky-pudding-silky-coklat?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
PEWARNA MAKANAN KOEPOE KOEPOE 30ML + PUTIH 50GR,Rp4.200,https://www.tokopedia.com/mettaol/pewarna-makanan-koepoe-koepoe-30ml-putih-50gr-biru?extParam=ivf%3Dfalse,,Jakarta Barat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Kulit Pangsit Siomay Dimsum Bulat Mee Macau | 150 Gram | Halal MUI,Rp6.400,https://www.tokopedia.com/macaumee/kulit-pangsit-siomay-dimsum-bulat-mee-macau-150-gram-halal-mui-putih?extParam=ivf%3Dtrue,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
nutrijell bubuk jelly instan kemasan ekonomis 10gr,Rp1.700,https://www.tokopedia.com/littledevan/nutrijell-bubuk-jelly-instan-kemasan-ekonomis-10gr-melon?extParam=ivf%3Dfalse,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
JennToys - Forisa Mom's Recipe PUYO Puding Silky Pudding Pouch,Rp8.800,https://www.tokopedia.com/jenntoys/jenntoys-forisa-mom-s-recipe-puyo-puding-silky-pudding-pouch-pouch-coklat?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
La Dame in Vanilla Halal Vanilla Extract 100 ml,Rp85.500,https://www.tokopedia.com/kebunkita/la-dame-in-vanilla-halal-vanilla-extract-100-ml?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
ARM and HAMMER Pure Baking Soda | Food Grade | Product of USA,Rp17.500,https://www.tokopedia.com/foodempire/arm-and-hammer-pure-baking-soda-food-grade-product-of-usa-226-gr-32c42?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
ARM HAMMER BAKING SODA 340gr UNTUK PENCUCI BUAH & SAYUR,Rp46.500,https://www.tokopedia.com/kaifafoodcom/arm-hammer-baking-soda-340gr-untuk-pencuci-buah-sayur?extParam=ivf%3Dtrue%26whid%3D7884224,,Jakarta Timur,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Colatta Glaze Dark - Bahan Pelapis Rasa Coklat 1Kg,Rp64.320,https://www.tokopedia.com/colatta/colatta-glaze-dark-bahan-pelapis-rasa-coklat-1kg?extParam=ivf%3Dfalse,,Depok,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Collins Dip Glaze 1 kg Topping Kue Donut Pisang,Rp36.000,https://www.tokopedia.com/tobakingmurahonline/collins-dip-glaze-1-kg-topping-kue-donut-pisang-talas?extParam=ivf%3Dfalse,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
